TWPS,I2C_Speed (Hz),TWBR
0.0,1000.0,7992.0
0.0,2000.0,3992.0
0.0,3000.0,2658.0
0.0,4000.0,1992.0
0.0,5000.0,1592.0
0.0,6000.0,1325.0
0.0,7000.0,1134.0
0.0,8000.0,992.0
0.0,9000.0,880.0
0.0,10000.0,792.0
0.0,11000.0,719.0
0.0,12000.0,658.0
0.0,13000.0,607.0
0.0,14000.0,563.0
0.0,15000.0,525.0
0.0,16000.0,492.0
0.0,17000.0,462.0
0.0,18000.0,436.0
0.0,19000.0,413.0
0.0,20000.0,392.0
0.0,21000.0,372.0
0.0,22000.0,355.0
0.0,23000.0,339.0
0.0,24000.0,325.0
0.0,25000.0,312.0
0.0,26000.0,299.0
0.0,27000.0,288.0
0.0,28000.0,277.0
0.0,29000.0,267.0
0.0,30000.0,258.0
0.0,31000.0,250.0
0.0,32000.0,242.0
0.0,33000.0,234.0
0.0,34000.0,227.0
0.0,35000.0,220.0
0.0,36000.0,214.0
0.0,37000.0,208.0
0.0,38000.0,202.0
0.0,39000.0,197.0
0.0,40000.0,192.0
0.0,41000.0,187.0
0.0,42000.0,182.0
0.0,43000.0,178.0
0.0,44000.0,173.0
0.0,45000.0,169.0
0.0,46000.0,165.0
0.0,47000.0,162.0
0.0,48000.0,158.0
0.0,49000.0,155.0
0.0,50000.0,152.0
0.0,51000.0,148.0
0.0,52000.0,145.0
0.0,53000.0,142.0
0.0,54000.0,140.0
0.0,55000.0,137.0
0.0,56000.0,134.0
0.0,57000.0,132.0
0.0,58000.0,129.0
0.0,59000.0,127.0
0.0,60000.0,125.0
0.0,61000.0,123.0
0.0,62000.0,121.0
0.0,63000.0,118.0
0.0,64000.0,117.0
0.0,65000.0,115.0
0.0,66000.0,113.0
0.0,67000.0,111.0
0.0,68000.0,109.0
0.0,69000.0,107.0
0.0,70000.0,106.0
0.0,71000.0,104.0
0.0,72000.0,103.0
0.0,73000.0,101.0
0.0,74000.0,100.0
0.0,75000.0,98.0
0.0,76000.0,97.0
0.0,77000.0,95.0
0.0,78000.0,94.0
0.0,79000.0,93.0
0.0,80000.0,92.0
0.0,81000.0,90.0
0.0,82000.0,89.0
0.0,83000.0,88.0
0.0,84000.0,87.0
0.0,85000.0,86.0
0.0,86000.0,85.0
0.0,87000.0,83.0
0.0,88000.0,82.0
0.0,89000.0,81.0
0.0,90000.0,80.0
0.0,91000.0,79.0
0.0,92000.0,78.0
0.0,93000.0,78.0
0.0,94000.0,77.0
0.0,95000.0,76.0
0.0,96000.0,75.0
0.0,97000.0,74.0
0.0,98000.0,73.0
0.0,99000.0,72.0
0.0,100000.0,72.0
0.0,101000.0,71.0
0.0,102000.0,70.0
0.0,103000.0,69.0
0.0,104000.0,68.0
0.0,105000.0,68.0
0.0,106000.0,67.0
0.0,107000.0,66.0
0.0,108000.0,66.0
0.0,109000.0,65.0
0.0,110000.0,64.0
0.0,111000.0,64.0
0.0,112000.0,63.0
